review_id,listing_id,date,reviewer_id,reviewer_name,review_rating,review_text,sentiment_label,is_review_text_mocked,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,mocked_listing_fields,most_similar_review,similarity_score
316856727,7522012,2018-09-01,36523549,Elena C.,1,Not worth the price. The host was difficult to reach when we had issues. Check-in was confusing and delayed our arrival in Rome.,negative,True,Trastevere Garden Hideaway,21911102,2014-09-29,"Rome, Lazio, Italy",a few days or more,0.38,0.98,f,13.0,t,t,I Centro Storico,I Centro Storico District,Rome,41.89091,12.46655,Entire apartment,Entire place,2,1.0,"[""Extra pillows and blankets"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Private entrance"", ""Long term stays allowed""]",45,3,1125,88.0,9.0,9.0,9.0,10.0,10.0,9.0,t,district,Not worth the price. Check-in was confusing and delayed our arrival in Rome. Our superhost was difficult to reach when we had issues.,0.9206
401362136,16773565,2019-01-14,23425737,Carlos A.,3,An average experience. Location in Menilmontant was convenient enough. It served its purpose for our stay in Paris.,neutral,True,"Charmant 2P,Proche PÃÂ¨re Lachaise, Gambetta",41654380,2015-08-16,"Paris, Ile-de-France, France",within an hour,0.68,1.0,t,1.0,t,t,Menilmontant,Menilmontant District,Paris,48.8618,2.40566,Entire apartment,Entire place,2,1.0,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm""]",59,4,30,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,"host_response_time,host_response_rate,district",Reasonable for a short trip. Location in Menilmontant was convenient enough. It served its purpose for our stay in Paris.,0.7397
420401135,11371099,2019-03-06,211954017,Julia T.,3,Reasonable for a short trip. Location in Bedford-Stuyvesant was convenient enough. It served its purpose for our stay in New York.,neutral,True,Charming 1 Bedroom Brooklyn Apt,59595517,2016-02-20,"Brooklyn, New York, United States",within a few hours,0.75,1.0,t,1.0,t,t,Bedford-Stuyvesant,Brooklyn,New York,40.68164,-73.93497,Entire house,Entire place,4,1.0,"[""Hair dryer"", ""Iron"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""TV""]",99,4,29,97.0,10.0,9.0,10.0,10.0,9.0,9.0,f,"host_response_time,host_response_rate",It was okay for the price. Location in Bedford-Stuyvesant was convenient enough. It served its purpose for our stay in New York.,0.8112
176564920,15564895,2017-07-31,68573730,James L.,2,Below our expectations. The entire serviced apartment was not as clean as the photos suggested. We had several issues during our stay that were never resolved.,negative,True,Luxury Domus Amadeus S. Giovanni  Rome center,99625031,2016-10-14,"Rome, Lazio, Italy",within an hour,1.0,1.0,t,3.0,t,t,I Centro Storico,I Centro Storico District,Rome,41.88809,12.5119,Entire serviced apartment,Entire place,5,2.0,"[""Dishwasher"", ""Washer"", ""Dedicated workspace"", ""Microwave"", ""Fire extinguisher"", ""Hangers""]",135,1,1125,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,district,Below our expectations. Our superhost was difficult to reach when we had issues. The entire serviced apartment was not as clean as the photos suggested.,0.8165
222932679,12887333,2017-12-31,13718223,Tom C.,3,"Nothing special, but fine. The entire apartment was fine but a little smaller than expected.",neutral,True,Spacious apartment closer Vatican with breakfast,70377044,2016-05-04,"Rome, Lazio, Italy",within a few hours,0.96,1.0,t,5.0,t,f,XIII Aurelia,XIII Aurelia District,Rome,41.8979,12.4573,Entire apartment,Entire place,5,2.0,"[""Dishwasher"", ""Paid parking off premises"", ""Pack \u2019n Play/travel crib"", ""Lockbox"", ""Washer"", ""Dedicated workspace""]",140,2,1125,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,"host_response_time,host_response_rate,district","Nothing special, but fine. The entire apartment was fine but a little smaller than expected.",1.0
596888402,12517324,2020-01-24,50340767,Hiro J.,5,Amazing stay! We would definitely book this entire loft again. Our superhost was super responsive and easy to communicate with. Check-in was smooth and the amenities were exactly what we needed.,positive,True,Atelier Loft - Nord Marais Temple,67791987,2016-04-18,"Paris, Ile-de-France, France",within an hour,0.42,0.89,t,1.0,t,t,Temple,Temple District,Paris,48.86795,2.35856,Entire loft,Entire place,2,1.0,"[""Patio or balcony"", ""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers""]",125,4,1124,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,"host_response_time,host_response_rate,district",Amazing stay! The host was super responsive and easy to communicate with. Check-in was smooth and the amenities were exactly what we needed. We would definitely book this entire apartment again.,0.8634
323819605,19284090,2018-09-16,23276237,Liam K.,1,Not worth the price. The location in Buttes-Montmartre was noisier than expected. We had several issues during our stay that were never resolved.,negative,True,40 m2 dans le 18 ÃÂ¨me arrdt de Paris Metro Lamarck,63098708,2016-03-15,"Paris, Ile-de-France, France",within an hour,0.66,0.79,f,1.0,t,t,Buttes-Montmartre,Buttes-Montmartre District,Paris,48.88941,2.33218,Entire apartment,Entire place,2,1.0,"[""Paid parking off premises"", ""Dishes and silverware"", ""Patio or balcony"", ""Heating"", ""TV"", ""Kitchen""]",90,2,60,96.0,9.0,10.0,9.0,9.0,10.0,10.0,f,"host_response_time,host_response_rate,host_acceptance_rate,district",We had a rough experience. The location in Buttes-Montmartre was noisier than expected. We had several issues during our stay that were never resolved.,0.8144
299410914,9581323,2018-07-31,34139902,Priya E.,1,We had a rough experience. The entire guest suite was not as clean as the photos suggested. We had several issues during our stay that were never resolved. The host was difficult to reach when we had issues.,negative,True,Studio Apartment in Castlecrag,21573195,2014-09-20,"Castlecrag, New South Wales, Australia",within a few hours,0.97,1.0,f,1.0,t,t,Willoughby,Willoughby District,Sydney,-33.80376,151.21648,Entire guest suite,Entire place,2,1.0,"[""Bed linens"", ""Shampoo"", ""Coffee maker"", ""Hair dryer"", ""TV"", ""Fire extinguisher""]",85,2,1125,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,"host_response_time,host_response_rate,district,bedrooms",We had a rough experience. The host was difficult to reach when we had issues. We had several issues during our stay that were never resolved. The entire apartment was not as clean as the photos suggested.,0.7927
718052250,17211450,2020-12-25,307573891,Hiro K.,3,Decent stay overall. The entire apartment was fine but a little smaller than expected.,neutral,True,Ã¢ÂÂ¤Ã¯Â¸ÂPanoramic Views Ipanema Penthouse With TerraceÃ¢ÂÂ¤Ã¯Â¸Â,3969050,2012-10-24,"San Francisco, California, United States",within an hour,1.0,0.97,t,1.0,t,t,Ipanema,Ipanema District,Rio de Janeiro,-22.98426,-43.20271,Entire apartment,Entire place,2,1.0,"[""Air conditioning"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Dedicated workspace"", ""Private entrance""]",579,3,60,98.0,10.0,10.0,10.0,10.0,10.0,9.0,t,district,Decent stay overall. The entire apartment was fine but a little smaller than expected.,1.0
271005101,3398721,2018-05-31,88144149,Carlos D.,5,"Loved every minute of it. Great location in Temple, close to everything we needed in Paris. The entire apartment was spotless and exactly as described. The place felt very cozy for 4 guests.",positive,True,Beautiful Apartment Haut Marais,6025614,2013-04-21,"Paris, Ile-de-France, France",within an hour,1.0,0.63,f,1.0,t,t,Temple,Temple District,Paris,48.86369,2.35316,Entire apartment,Entire place,4,1.0,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi""]",140,1,30,91.0,10.0,10.0,10.0,10.0,10.0,9.0,f,district,Loved every minute of it. The entire apartment was spotless and exactly as described. The place felt very cozy for 3 guests.,0.7628
