word,frequency
entire,7067
apartment,7050
stay,6733
location,6144
issues,4964
exactly,4194
needed,4191
expected,3994
host,3371
would,3009
place,2723
superhost,2684
experience,2641
room,2575
clean,2550
photos,2550
suggested,2550
noisier,2544
difficult,2485
reach,2485
several,2479
never,2479
resolved,2479
confusing,2446
delayed,2446
arrival,2446
fine,2434
private,2234
could,2138
spotless,2127
described,2127
great,2124
close,2124
everything,2124
super,2095
responsive,2095
easy,2095
communicate,2095
felt,2080
cozy,2080
guests,2080
smooth,2067
amenities,2067
definitely,2023
book,2023
price,1987
trip,1622
recommend,1622
expectations,1616
served,1581
purpose,1581
things,1515
improved,1515
like,1515
cleanliness,1515
convenient,1476
enough,1476
polite,1475
slow,1475
respond,1475
couple,1475
times,1475
little,1452
smaller,1450
paris,1358
rome,1304
decent,1036
overall,1036
rough,1031
reasonable,1011
short,1011
disappointing,1003
okay,1001
worth,986
nothing,984
special,984
average,968
new,961
york,960
centro,875
storico,865
sydney,792
house,763
wonderful,642
fantastic,636
time,636
highly,636
amazing,627
asked,623
exceeded,622
perfect,611
loved,603
every,603
minute,603
city,560
mexico,544
condominium,466
de,401
rio,394
janeiro,394
loft,385
cape,369
town,369
ward,366
bangkok,313
cuauhtemoc,288
townhouse,211
istanbul,202
guest,198
suite,198
copacabana,167
hotel,153
serviced,152
hong,137
kong,137
popincourt,135
east,127
bed,116
breakfast,116
guesthouse,110
boutique,109
san,106
beyoglu,102
vaugirard,96
temple,93
miguel,89
hidalgo,89
harlem,87
vii,87
xiii,86
aurelia,86
yau,84
tsim,84
mong,84
heights,78
bourse,71
shared,70
passy,69
hostel,69
khlong,69
benito,66
juarez,66
monte,66
ii,62
williamsburg,61
ipanema,61
menilmontant,59
side,58
pantheon,54
observatoire,53
luxembourg,53
xii,52
verde,52
fatih,52
opera,51
toei,50
waverley,48
upper,48
village,48
vadhana,47
gobelins,46
reuilly,46
bang,44
louvre,42
elysee,40
bushwick,39
v,39
hell,35
kitchen,35
bay,34
coyoacan,34
da,34
tijuca,34
barra,33
crown,32
west,32
pittwater,30
flatbush,30
park,30
randwick,30
astoria,28
hill,27
slope,27
huai,26
khwang,26
aparthotel,25
rak,25
chelsea,24
wan,24
viii,24
appia,24
antica,24
villa,22
shire,22
washington,21
sisli,21
north,21
sathon,20
leblon,20
warringah,20
cabin,20
venustiano,19
carranza,19
islands,19
phra,19
greenpoint,19
jacarepagua,18
woollahra,17
x,17
marrickville,17
manly,16
ratchathewi,16
district,16
xi,16
bungalow,16
cottage,16
sutherland,16
gardens,16
leichhardt,15
clinton,15
phaya,15
thai,15
obregon,15
nakhon,14
botafogo,14
chai,14
island,13
elmhurst,13
ditmars,13
steinway,13
hills,13
tiny,13
botany,12
kadikoy,12
prospect,12
jamaica,12
din,11
daeng,11
sunnyside,11
fort,11
greene,11
willoughby,11
xiv,11
mario,11
south,11
parthum,10
lower,10
leme,10
rockdale,10
flushing,10
tlalpan,10
santa,10
teresa,10
recreio,10
dos,10
bandeirantes,10
na,10
parramatta,10
long,9
midtown,9
theater,9
chatu,9
chak,9
gustavo,9
madero,9
central,9
western,9
xv,8
iv,8
tiburtina,8
kips,8
mosman,8
canarsie,7
jackson,7
flamengo,7
lat,7
krabang,7
cuajimalpa,7
morelos,7
farm,7
soho,7
chinatown,6
ridgewood,6
auburn,6
azcapotzalco,6
inwood,6
hurstville,6
gramercy,6
liverpool,6
sunset,6
sheepshead,6
woodside,6
ix,6
eur,6
kogarah,5
greenwich,5
cypress,5
suanluang,5
thon,5
buri,5
laranjeiras,5
kho,5
laen,5
financial,5
gowanus,5
mueang,5
carroll,5
canterbury,5
khanong,5
hornsby,5
hunters,4
samphanthawong,4
point,4
thong,4
woodhaven,4
strathfield,4
glendale,4
ridge,4
morris,4
pom,4
prap,4
sattru,4
phai,4
concourse,4
albans,4
iii,3
sacro,3
morningside,3
ryde,3
lak,3
si,3
vi,3
roma,3
delle,3
torri,3
eastern,3
